Node In,Node Out,Max Gas Flow [m3/hr],Diameter [m],Length [m],Friction Factor,Existing Units,Max New Units,Max Compression Ratio
11,1,5000000,0.8382,167000,0.01,1,0,2
11,17,5000000,0.8382,280000,0.01,1,0,2
16,11,5000000,0.8382,186000,0.01,1,0,2
18,16,5000000,0.8382,90000,0.01,1,0,2
11,12,5000000,0.8382,214000,0.01,1,0,2
12,2,5000000,0.8382,236000,0.01,1,0,2
2,3,5000000,0.8382,280000,0.01,1,0,2
12,3,5000000,0.8382,125000,0.01,1,0,2
3,4,5000000,0.8382,138000,0.01,1,0,2
13,12,5000000,0.8382,234000,0.01,1,0,2
13,4,5000000,0.8382,108000,0.01,1,0,2
5,4,5000000,0.8382,150000,0.01,1,0,2
6,5,5000000,0.8382,162000,0.01,1,0,2
9,13,5000000,0.8382,237000,0.01,1,0,2
6,9,5000000,0.8382,31000,0.01,1,0,2
14,13,5000000,0.8382,310000,0.01,1,0,2
9,14,5000000,0.8382,196000,0.01,1,0,2
8,6,5000000,0.8382,88000,0.01,1,0,2
10,8,5000000,0.8382,44000,0.01,1,0,2
10,9,5000000,0.8382,145000,0.01,1,0,2
10,7,5000000,0.8382,34000,0.01,1,0,2
10,14,5000000,0.8382,165000,0.01,1,0,2
14,19,5000000,0.8382,100000,0.01,1,0,2
15,10,5000000,0.8382,100000,0.01,1,0,2
20,15,5000000,0.8382,100000,0.01,1,0,2
21,22,1,1,1,1,0,0,1
22,21,1,1,1,1,0,0,1