Node_ELEC,Node_GAS,Storage_ID,Prime Mover,Existing Units [no.],Unit Size [MW],Max New Units Annual [units/year],Max New Units Total [no.],Duration [hours],Charge efficiency [%],Discharge efficiency [%],Loss efficiency [%],Economic Lifetime [years],Lifetime [years],Install Year,Forced Retirement
1,1,BAT1,Li-ion battery,0,10,100,500,4,0.92,0.92,0.000013889,15,15,2050,2050
2,2,BAT2,Li-ion battery,0,10,100,500,4,0.92,0.92,0.000013889,15,15,2050,2050
3,3,BAT3,Li-ion battery,0,10,100,500,4,0.92,0.92,0.000013889,15,15,2050,2050
4,4,BAT4,Li-ion battery,1,10,100,500,4,0.92,0.92,0.000013889,15,15,2050,2050
5,5,BAT5,Li-ion battery,3,10,100,500,4,0.92,0.92,0.000013889,15,15,2050,2050
6,6,BAT6,Li-ion battery,0,10,100,500,4,0.92,0.92,0.000013889,15,15,2050,2050
7,7,BAT7,Li-ion battery,30,10,100,500,4,0.92,0.92,0.000013889,15,15,2050,2050
8,8,BAT8,Li-ion battery,15,10,100,500,4,0.92,0.92,0.000013889,15,15,2050,2050
9,9,BAT9,Li-ion battery,2,10,100,500,4,0.92,0.92,0.000013889,15,15,2050,2050
10,10,BAT10,Li-ion battery,7,10,100,500,4,0.92,0.92,0.000013889,15,15,2050,2050
11,11,BAT11,Li-ion battery,0,10,100,500,4,0.92,0.92,0.000013889,15,15,2050,2050
12,12,BAT12,Li-ion battery,2,10,100,500,4,0.92,0.92,0.000013889,15,15,2050,2050
13,13,BAT13,Li-ion battery,0,10,100,500,4,0.92,0.92,0.000013889,15,15,2050,2050
14,14,BAT14,Li-ion battery,1,10,100,500,4,0.92,0.92,0.000013889,15,15,2050,2050
15,15,BAT15,Li-ion battery,3,10,100,500,4,0.92,0.92,0.000013889,15,15,2050,2050
16,16,BAT16,Li-ion battery,1,10,100,500,4,0.92,0.92,0.000013889,15,15,2050,2050
1,1,BAT17,Long-duration storage,0,50,4,20,720,0.6305,0.53,0.000000011,30,30,2050,2050
2,2,BAT18,Long-duration storage,0,50,4,20,720,0.6305,0.53,0.000000011,30,30,2050,2050
3,3,BAT19,Long-duration storage,0,50,4,20,720,0.6305,0.53,0.000000011,30,30,2050,2050
4,4,BAT20,Long-duration storage,0,50,4,20,720,0.6305,0.53,0.000000011,30,30,2050,2050
5,5,BAT21,Long-duration storage,0,50,4,20,720,0.6305,0.53,0.000000011,30,30,2050,2050
6,6,BAT22,Long-duration storage,0,50,4,20,720,0.6305,0.53,0.000000011,30,30,2050,2050
7,7,BAT23,Long-duration storage,0,50,4,20,720,0.6305,0.53,0.000000011,30,30,2050,2050
8,8,BAT24,Long-duration storage,0,50,4,20,720,0.6305,0.53,0.000000011,30,30,2050,2050
9,9,BAT25,Long-duration storage,0,50,4,20,720,0.6305,0.53,0.000000011,30,30,2050,2050
10,10,BAT26,Long-duration storage,0,50,4,20,720,0.6305,0.53,0.000000011,30,30,2050,2050
11,11,BAT27,Long-duration storage,0,50,4,20,720,0.6305,0.53,0.000000011,30,30,2050,2050
12,12,BAT28,Long-duration storage,5,50,4,20,720,0.6305,0.53,0.000000011,30,30,2050,2050
13,13,BAT29,Long-duration storage,3,50,4,20,720,0.6305,0.53,0.000000011,30,30,2050,2050
14,14,BAT30,Long-duration storage,0,50,4,20,720,0.6305,0.53,0.000000011,30,30,2050,2050
15,15,BAT31,Long-duration storage,0,50,4,20,720,0.6305,0.53,0.000000011,30,30,2050,2050
16,16,BAT32,Long-duration storage,0,50,4,20,720,0.6305,0.53,0.000000011,30,30,2050,2050